Pc [Pa],S_Hg
12056.4,0.00122
15162.4,0.00368
17630,0.00741
23693,0.0086
30708,0.01607
36799,0.01979
44633,0.02351
49752,0.02599
52522,0.03474
55439,0.05476
55449,0.05473
57820,0.06977
59569,0.0998
62089,0.16613
63563,0.22244
65092,0.25123
66585,0.37262
68232,0.34759
69833,0.42518
71069,0.471
71085,0.45271
76355,0.54039
76802,0.54156
101289,0.60534
117732,0.63785
135188,0.67913
160014,0.70663
203630,0.73037
222870,0.74787
267020,0.76787
348080,0.7966
437710,0.80783
696280,0.83528
1148210,0.87899
1860000,0.90268
2352900,0.92016
3975500,0.94885
5214900,0.95882
7353000,0.98253
9821400,0.99375
11698800,0.99622
12884400,0.9962
15440700,0.99617
17108000,0.99865
