Formula,Substance,Mw,A,B,C,D,Tmin,Tmax,H at 25°C,H at Tmax
Ar,Argon,39.948,65.3235,-3.24690E+03,-2.01398E+01,0,273.15,348.15,39696.1,64077.9
CF4,Carbon tetrafluoride,88.005,1507.2737,-4.19725E+04,-5.99350E+02,4.09087E–01,273.15,323.15,259777.3,374833
CH4,Methane,16.043,146.8858,-5.76834E+03,-5.19144E+01,1.84936E–02,273.15,360.95,39240.1,64820.5
CO,Carbon monoxide,28.01,74.5962,-3.60330E+03,-2.33376E+01,0,273.15,353.15,57978.5,85034.9
COS,Carbonyl sulfide,60.076,96.0704,-5.22240E+03,-3.03658E+01,0,273.15,303.15,2607.5,3060.5
CO2,Carbon dioxide,44.01,69.4237,-3.79646E+03,-2.16694E+01,4.78857E–04,273.15,353.15,1635.2,4263.7
C2H2,Acetylene,26.038,67.9714,-3.54393E+03,-2.14030E+01,0,274.15,343.15,1332.6,2381.4
C2H3Cl,Vinyl chloride,62.499,61.1868,-3.43853E+03,-1.90984E+01,2.51906E–03,273.15,323.15,1403.3,2719.5
C2H4,Ethylene,28.054,107.7298,-6.33990E+03,-3.17169E+01,-1.32533E–02,283.15,360.95,10784.4,18502.9
C2H6,Ethane,30.07,108.9263,-5.51363E+03,-3.47413E+01,0,275.15,323.15,29402.4,48324.7
C3H6,Cyclopropane,42.081,-141.9730,5874.66,50.9015,0,298.15,361.15,4820.7,30453
C3H6,Propylene,42.081,-2570.0227,68674,1033.84,-7.19694E–01,283.15,360.95,8182.3,29043.9
C3H8,Propane,44.096,2874.113,-8.56732E+04,-1.12809E+03,7.01580E–01,283.15,360.95,35420.1,90695.7
C4H8,1-Butene,56.107,12.9563,-2.78226E+03,0,0,311.15,378.15,-,399742
C4H8,Isobutene,56.107,103.9814,-5.54785E+03,-3.28909E+01,0,273.15,343.15,9714.4,26279.4
C4H10,n-Butane,58.123,121.8305,-6.34244E+03,-3.87599E+01,0,273.15,349.15,44563.3,125372.9
C4H10,Isobutane,58.123,161.2644,-7.94950E+03,-5.24651E+01,0,278.15,318.15,60280.3,94825
ClO2,Chloride dioxide,67.452,-24.6413,-6.21813E+01,10.7454,0,283.15,333.15,54.814,190.01
Cl2,Chlorine,70.905,232.4396,-8.21980E+03,-8.69997E+01,4.42155E–02,283.15,353.15,599.8,1279.3
H2,Hydrogen,2.016,54.6946,-2.40098E+03,-1.68893E+01,0,273.15,345.15,70832.1,74664.1
H2S,Hydrogen sulfide,34.082,10.8191,-1.51009E+03,-3.99300E–01,-6.81842E–03,273.15,353.15,541.18,1311.5
He,Helium,4.003,46.0252,-1.84993E+03,-1.40094E+01,0,273.15,348.15,142950.4,126766.7
Kr,Krypton,83.8,77.5359,-3.95280E+03,-2.42207E+01,0,273.15,353.15,22161.3,42614.9
NO,Nitric oxide,30.006,30.2512,-2.42215E+03,-5.70490E+00,-1.19149E–02,273.15,353.15,28739.1,44559
N2,Nitrogen,28.013,78.8622,-3.74498E+03,-2.47981E+01,0,273.15,350.15,87143.1,118634.5
N2O,Nitrous oxide,44.013,68.8882,-3.85775E+03,-2.12530E+01,0,273.15,313.15,2291.4,3363.7
Ne,Neon,20.18,60.7869,-2.65134E+03,-1.89157E+01,0,273.15,348.15,12262.8,123620.2
O2,Oxygen,31.999,77.8881,-3.79901E+03,-2.44526E+01,0,273.15,348.15,43630.9,66575.2
PH3,Phosphine,33.998,67.5831,-3.57648E+03,-2.09165E+01,0,298.15,323.15,6776.6,10656
Rn,Radon,222,109.3341,-5.64696E+03,-3.50047E+01,0,273.15,323.15,5987.3,10449.8
SF6,Sulfur hexafluoride,146.056,191.8514,-9.19008E+03,-6.29116E+01,0,276.15,323.15,22752.1,348071.1
SO2,Sulfur dioxide,64.065,22.3423,-1.98711E+03,-5.68540E+00,0,283.15,323.15,40.674,84.355
Xe,Xenon,131.29,87.3918,-4.56921E+03,-2.74664E+01,0,273.15,348.15,12669.1,28466.9
